Study Hours,Sleep Hours,Social Media,Attendance,Past Avg Score,actual_score,predicted_score
3.76,4.75,1.36,72.93,67.96,94.37,94.43252050618715
2.25,4.76,4.28,53.79,78.79,73.64,73.62210423733542
6.61,6.46,4.71,75.51,91.28,128.58,128.61577950048706
3.0,4.88,3.35,69.2,61.77,80.4,80.40719385777635
5.02,6.08,0.76,50.86,61.08,101.55,101.58910698753161
1.92,8.11,4.53,55.79,86.15,83.73,83.7469576182952
4.52,3.91,4.99,67.16,97.36,101.51,101.5220124441768
4.56,3.68,1.73,78.72,54.59,94.07,94.07120560867705
1.65,8.69,4.21,70.74,78.99,85.29,85.31827527913475
3.11,3.48,2.73,89.32,59.86,83.76,83.70945242236233
2.01,4.96,4.22,93.4,73.33,81.92,81.88208218028382
6.61,8.84,0.84,69.24,59.2,128.75,128.78225196471044
7.66,5.07,1.96,70.12,54.01,122.85,122.86951591256539
5.14,3.31,0.66,55.44,64.12,97.14,97.14879653806207
2.68,6.84,1.2,50.65,76.29,87.94,87.95041116692258
4.59,5.74,3.62,94.47,69.67,107.47,107.49942049067954
3.87,7.62,1.63,58.3,83.03,105.14,105.13206124166439
4.69,5.27,2.49,64.0,78.81,103.74,103.76373550226262
2.56,4.21,3.88,83.99,72.9,82.28,82.2667209453698
1.01,5.26,0.24,81.18,93.97,86.31,86.33226354904735
2.87,8.55,2.48,68.33,66.64,93.65,93.67499046641093
7.54,8.4,2.69,77.92,89.42,146.78,146.8252726556833
1.66,7.17,4.66,63.39,65.33,72.29,72.27842326260185
5.51,8.75,4.11,94.96,87.32,131.06,131.03755374008824
7.19,4.06,4.4,63.63,69.05,114.78,114.79847082573164
4.4,6.07,2.27,82.42,74.99,108.0,107.99227607154243
7.61,7.52,4.79,82.1,74.99,136.07,136.09683947833867
5.47,7.68,0.75,64.06,67.35,116.93,116.92798733446867
5.0,4.72,3.78,99.41,53.12,102.69,102.67097239612653
4.07,8.89,0.19,93.81,64.89,117.06,117.01985190551144
4.02,7.12,1.46,77.39,90.9,114.2,114.19771793392546
7.96,5.97,2.6,76.39,80.65,139.54,139.52757928782316
7.33,7.81,2.31,95.59,61.99,138.27,138.2539225355449
1.86,3.41,0.0,75.86,59.88,73.65,73.67896074314571
4.49,3.06,3.29,98.36,51.37,93.12,93.06553412753556
7.43,8.43,3.23,89.06,77.55,143.44,143.4392666173106
3.15,8.59,1.31,67.57,77.14,102.58,102.62728434624206
4.92,5.84,4.36,95.83,95.69,120.1,120.10618024415284
3.77,3.4,1.57,56.76,85.78,92.36,92.32927389754882
5.05,7.46,4.05,86.87,76.66,116.48,116.45576062675809
6.01,5.64,2.06,56.8,94.61,121.82,121.77414663459373
2.41,3.9,4.8,55.88,78.51,71.99,71.95700302446204
6.71,5.98,0.33,91.8,89.09,140.9,140.84712342303527
1.2,3.55,1.37,82.56,66.6,70.17,70.11727573049853
1.75,4.34,0.88,83.87,57.32,75.09,75.0982789143807
6.25,6.13,4.16,50.48,82.8,114.57,114.58376704840492
7.21,4.96,4.32,82.64,65.19,122.01,121.99807510311226
4.69,6.98,3.54,66.43,92.95,113.21,113.17949028663067
2.13,6.44,0.04,87.28,79.53,96.41,96.40639430761723
3.9,4.62,0.68,51.47,67.55,90.04,90.05990471905368
3.84,4.3,2.44,94.2,54.62,92.65,92.68768193115042
2.52,3.26,4.51,63.88,73.05,71.82,71.82297459121916
1.87,7.13,3.54,87.07,95.09,95.25,95.29787616806522
7.34,3.4,1.59,68.73,60.92,118.09,118.06630874358153
1.99,8.49,4.48,91.84,71.67,90.68,90.64066656614592
3.74,8.69,4.08,94.92,55.39,102.17,102.20254054424157
7.62,4.71,2.57,98.08,90.6,143.27,143.23516873582804
6.83,3.57,2.56,51.09,90.86,118.74,118.73057083292542
3.4,3.62,2.49,70.26,89.61,93.4,93.40174983653604
5.04,6.59,2.48,52.41,97.85,115.06,115.03319297642676
2.08,8.02,2.05,59.33,53.14,77.7,77.73421386898124
2.29,6.87,2.65,88.19,58.08,85.61,85.60894346980997
1.41,4.57,1.58,63.62,87.29,77.27,77.24149874909055
6.71,8.34,4.07,89.9,86.46,138.83,138.82542875649548
1.21,6.87,1.71,89.91,73.01,84.28,84.25728030536374
2.47,7.07,0.05,80.85,82.5,100.58,100.59544548254101
5.97,4.87,2.56,59.99,80.12,113.31,113.26470509066804
4.73,5.24,1.75,58.97,67.92,99.61,99.64831552391516
6.36,7.82,1.16,96.6,97.27,146.27,146.26978185369197
1.56,8.05,4.24,67.88,76.11,80.55,80.51798952457118
2.33,4.34,1.65,73.45,65.68,79.0,78.99625671396956
6.09,7.96,2.78,56.91,51.05,110.61,110.62246526120128
7.79,6.76,0.95,83.73,66.48,140.19,140.2015613130643
6.69,6.14,2.93,52.57,97.52,127.53,127.54926014157161
5.97,8.97,2.75,89.21,72.75,130.98,131.00411075768636
7.2,8.02,2.38,93.36,71.93,140.87,140.88114546958604
2.19,5.84,0.44,98.82,56.81,88.73,88.72001476249099
1.0,4.38,1.44,75.61,89.56,77.81,77.7668167731735
2.4,4.89,0.49,87.95,70.82,90.06,90.00291392077825
1.3,7.38,3.57,67.76,64.6,72.88,72.86753845108743
7.43,5.14,1.74,84.78,87.92,139.36,139.41279748763856
7.44,7.51,0.18,83.74,89.43,149.99,150.02527178466912
2.34,7.74,1.65,70.18,74.51,91.87,91.83804552502266
7.37,3.86,2.59,88.49,79.79,131.16,131.1934338622788
5.35,4.43,4.06,73.37,80.33,107.45,107.4629295079104
1.34,4.17,0.87,92.87,94.82,88.66,88.61943116657997
7.73,8.64,2.04,72.43,90.25,149.27,149.24020969589935
5.94,7.82,3.42,77.98,58.31,116.81,116.79819570097935
5.73,3.62,4.39,53.24,54.72,91.53,91.50858332618898
6.44,5.52,1.09,73.64,86.48,129.04,129.02443024622377
6.8,4.89,4.4,64.69,57.87,109.66,109.62433088454038
1.06,5.56,2.5,63.94,64.46,66.17,66.18506417659759
3.25,3.35,1.82,60.15,83.66,87.21,87.16825169802794
7.65,8.44,2.95,75.49,69.21,138.63,138.60169685038082
6.96,8.23,0.19,95.89,88.51,151.07,151.12267758598026
5.38,6.09,0.04,57.77,70.24,112.05,112.03657902407909
6.61,3.24,4.84,52.58,89.05,110.9,110.92346606390561
5.46,7.42,1.46,75.72,60.23,115.3,115.28807228847649
5.18,4.37,4.4,59.67,76.98,99.6,99.6224303679677
6.17,6.15,3.15,63.07,59.19,110.3,110.27650777856728
2.78,5.29,3.52,52.5,96.68,88.27,88.27169043451832
5.0,8.9,3.75,70.98,93.36,122.86,122.83902345000482
1.03,6.95,0.17,57.87,79.23,78.85,78.8325563373546
6.15,8.39,3.3,53.07,52.52,110.79,110.8484809659567
4.01,4.14,3.96,69.54,79.33,93.14,93.18361188193595
2.27,6.19,3.82,77.3,79.07,86.16,86.17804523175413
7.15,7.87,1.6,87.49,78.12,142.29,142.25611408116978
1.09,3.94,0.68,84.29,92.3,82.52,82.47705953320325
1.14,4.24,2.0,72.44,67.11,67.6,67.55512873544986
2.81,4.73,2.78,70.55,96.56,93.69,93.70909130384567
5.26,7.25,2.15,97.61,80.63,126.28,126.32615580914612
6.7,3.44,1.64,96.92,74.91,126.35,126.38040309550462
4.79,5.04,3.35,68.56,63.18,97.4,97.36941700090611
3.78,7.67,3.58,57.22,89.76,102.92,102.94019392804802
1.11,5.67,2.83,92.86,74.31,78.88,78.92214994731677
1.01,3.36,3.4,97.38,77.49,72.59,72.57990363172141
4.19,6.17,3.55,76.55,92.57,109.09,109.11355916811742
2.69,3.07,3.0,75.86,80.59,82.46,82.41349441931763
6.19,6.84,0.78,50.54,54.89,111.79,111.7871960808464
6.09,6.1,0.14,91.02,96.87,138.88,138.88526762941322
5.29,4.54,0.57,99.08,54.98,111.76,111.80602621189266
3.63,3.67,2.0,72.27,57.33,84.25,84.2920029326394
6.15,3.41,2.59,68.49,86.58,115.57,115.57884805453838
2.52,5.27,1.2,78.04,53.87,81.09,81.0492772054664
4.11,3.06,0.47,50.99,95.67,98.79,98.79434500203975
1.61,6.48,4.48,63.14,80.01,75.9,75.91566186110644
3.54,3.85,1.82,65.31,78.35,90.66,90.70238142393363
7.94,7.19,4.48,71.13,77.18,136.29,136.28156147605492
4.76,7.81,4.74,66.06,79.79,108.57,108.524295896968
6.34,5.3,2.9,91.52,91.32,131.11,131.14499084060358
5.63,4.32,3.76,97.69,67.73,112.47,112.50928859440455
1.66,8.06,4.4,64.6,78.88,81.22,81.25198056232573
2.6,5.13,4.82,58.03,51.83,67.28,67.2896237017354
4.55,7.63,4.19,93.05,62.06,108.2,108.19953692256536
3.83,6.55,2.4,94.49,58.68,101.12,101.13922470722311
7.13,6.73,2.87,50.1,89.89,129.6,129.60614905845048
3.95,7.65,4.78,83.5,71.44,102.53,102.5664558829235
3.37,8.26,4.42,67.63,81.79,99.28,99.27534471821222
7.69,5.8,4.02,53.77,53.05,115.89,115.9201640945992
3.63,4.69,0.6,71.8,51.29,87.59,87.59503709911854
4.07,5.93,1.41,59.24,88.98,104.96,104.96393980182685
3.68,6.19,1.78,67.76,72.99,97.65,97.653771631766
6.7,3.25,0.09,78.01,68.56,120.65,120.69668481836814
1.7,6.41,0.85,69.34,50.98,74.07,74.02310014067736
2.16,4.16,3.46,91.01,95.2,90.4,90.3834499615142
2.5,7.08,2.82,50.9,70.8,81.66,81.68929341498195
3.25,7.19,2.42,97.22,53.12,96.43,96.39422234110448
4.09,3.51,3.25,50.92,79.98,88.04,88.10700161233413
3.36,6.98,2.55,83.25,65.28,97.21,97.16711822731645
6.12,4.39,0.49,78.15,66.55,117.35,117.33479547489279
7.62,3.19,3.78,64.09,55.8,112.16,112.13601919912533
1.34,6.68,2.88,78.11,72.32,78.68,78.70090206018853
5.81,5.57,1.17,71.65,53.04,109.37,109.37045447427803
2.82,3.74,4.47,54.02,70.42,72.03,72.03275252537772
2.25,5.94,0.18,90.24,76.59,95.44,95.41831569221769
7.43,3.51,2.19,56.15,72.43,118.81,118.83628265279373
2.47,3.7,0.31,58.07,83.33,83.41,83.46218615438198
6.29,6.42,0.86,92.15,94.57,139.65,139.62431529514654
3.82,7.77,2.09,60.84,52.79,92.9,92.87736779386317
2.27,7.34,3.36,93.86,64.57,89.74,89.7163532882252
7.96,4.81,0.61,73.53,62.06,131.73,131.73280823724014
2.1,4.88,4.25,97.48,90.29,90.43,90.40062949586817
5.06,7.06,0.09,77.22,78.04,120.89,120.92247779468761
4.23,8.98,0.88,75.01,88.05,121.01,120.97395722961534
6.78,3.19,3.49,89.91,88.06,125.8,125.80749694442406
2.85,3.92,3.76,72.25,76.6,82.21,82.20446319543606
5.3,5.0,3.75,87.35,62.09,106.18,106.24095185634076
4.81,7.34,2.99,63.37,50.7,98.65,98.62039214410675
6.06,6.14,4.48,62.98,71.27,111.4,111.40179760281521
4.05,8.6,2.74,65.61,82.65,109.55,109.51345270297341
3.97,7.68,0.53,67.38,50.42,98.08,98.09149616529655
5.89,7.61,4.42,83.02,76.1,122.3,122.34674655607947
7.65,4.21,3.01,71.93,90.09,133.03,133.07533088095565
5.46,6.16,3.93,91.88,90.31,123.44,123.44904683696001
7.74,6.13,3.84,67.99,90.02,136.82,136.77558945822275
3.2,6.97,0.96,73.34,55.92,92.12,92.1595918642972
1.94,3.99,0.48,83.62,57.73,76.62,76.64723676137486
2.17,8.42,2.71,58.56,85.23,90.98,91.03010637305161
5.3,4.29,3.11,97.43,95.44,121.77,121.75596720681492
4.33,5.29,3.0,73.13,96.94,109.59,109.55542627521147
1.82,5.26,4.46,59.59,71.7,69.78,69.79613451011213
6.35,4.22,3.39,93.63,77.67,122.16,122.18748666855153
6.29,7.83,2.82,63.8,62.32,118.55,118.52794426293615
7.24,5.86,3.76,92.34,68.39,130.25,130.27860719901818
4.29,5.91,0.29,56.52,83.01,105.96,105.91973383064843
2.33,8.11,0.72,65.83,82.3,96.56,96.52920229540419
7.57,5.73,1.49,99.74,84.58,146.06,146.0952558635634
2.93,7.73,4.37,67.95,71.83,89.9,89.9369513803086
2.54,5.04,4.69,93.62,56.82,79.43,79.4137233712423
5.6,5.25,4.22,71.92,60.01,103.25,103.28954148305436
6.64,5.07,0.16,67.89,71.29,123.51,123.53281506991127
4.87,4.12,2.0,69.69,54.37,94.87,94.84406055283718
6.25,6.46,3.22,52.08,83.7,118.27,118.29390423082093
7.87,6.19,3.24,60.27,71.42,129.5,129.56891934051498
1.93,8.07,2.5,75.08,93.37,96.46,96.45268947956626
2.2,7.38,2.63,68.2,73.97,86.73,86.72788750557474
1.74,3.32,4.66,92.55,73.9,73.59,73.62473076857421
6.94,8.63,3.79,80.15,69.61,132.68,132.6597990465366
2.98,6.02,0.4,76.04,97.07,105.75,105.72053619881487
7.47,3.55,3.4,75.18,79.22,125.34,125.32199313726889
4.97,5.88,4.42,54.36,52.11,90.69,90.6809047120708
7.18,4.42,0.01,68.48,53.52,119.85,119.81129937677096
2.51,4.14,4.06,54.2,70.48,71.36,71.34080812384487
5.52,7.56,0.3,95.91,70.14,128.62,128.58993265035596
4.18,7.2,3.91,87.71,71.66,106.38,106.37752099151638
4.88,4.31,4.52,97.75,59.87,101.05,101.08300651171609
2.53,6.49,4.86,70.83,68.65,81.22,81.22867010547591
6.13,4.65,2.66,69.45,70.28,112.75,112.74668622645063
2.69,8.85,2.63,56.29,61.37,86.96,86.93455683338719
5.21,5.33,3.1,79.45,94.39,118.32,118.27162872066938
2.41,6.68,2.09,95.26,61.24,90.58,90.62420162840321
1.94,3.55,2.57,79.17,85.75,80.99,81.02074238635902
4.78,3.71,1.43,73.8,53.9,94.97,94.98907957337809
4.19,8.11,3.33,58.45,91.35,109.5,109.45539503210587
7.29,3.37,1.89,54.27,51.25,108.7,108.7196419839352
1.98,5.39,0.97,72.1,71.2,82.17,82.15953350445781
6.82,6.92,4.92,76.47,58.59,118.64,118.677064517101
7.05,7.5,0.36,69.76,61.48,130.73,130.75011542654357
2.54,8.75,2.61,76.4,84.61,100.7,100.65468732634989
1.49,7.6,3.23,79.63,55.63,75.91,75.89069924300387
7.13,3.16,4.06,72.6,59.83,111.27,111.24130595410936
6.34,8.02,2.64,55.29,89.16,128.12,128.09144613820723
1.79,3.5,3.86,66.34,79.1,70.43,70.43117947754972
6.34,3.47,3.46,62.6,54.58,101.13,101.16087729963469
5.24,5.42,1.77,69.89,55.26,102.97,102.95037510587082
7.83,8.73,3.43,97.22,92.24,155.82,155.86397036781833
6.67,8.43,0.12,68.93,79.41,137.53,137.52370017600043
2.43,8.67,4.1,96.83,79.79,100.6,100.64609610587723
2.1,5.71,0.99,65.69,50.11,73.83,73.79987993473
3.45,7.38,4.5,76.17,50.56,87.27,87.26461111901196
3.65,4.51,4.3,83.11,65.5,88.93,88.91266472048613
3.11,5.74,3.9,54.51,80.96,86.14,86.1464539217506
2.57,7.2,4.47,72.78,55.51,79.85,79.82752546075616
2.73,8.36,3.73,72.98,93.11,101.28,101.32874924308811
2.86,4.31,4.28,86.56,82.32,88.96,89.00608278409202
4.85,3.26,3.93,87.41,78.55,103.22,103.21300345354187
5.91,7.66,0.28,84.45,92.05,137.79,137.76623905374348
5.83,5.01,4.3,91.55,73.3,115.7,115.68540976523926
2.27,7.56,0.36,74.42,68.05,91.97,91.93596326200293
7.07,7.39,1.93,72.32,55.26,125.75,125.73999598646648
5.21,4.91,4.04,90.29,96.44,119.24,119.2038977689841
4.23,7.49,1.61,51.66,88.76,108.29,108.32203510955213
3.71,6.99,0.29,79.83,56.1,100.18,100.16883520623989
8.0,3.7,3.99,66.54,52.17,115.94,115.94912625963025
2.79,8.84,3.79,75.04,52.4,87.53,87.52184695621898
1.93,3.34,0.85,67.69,97.62,85.03,85.04470060222249
5.72,6.69,1.15,68.61,78.2,121.08,121.11322833872653
1.1,3.37,1.61,96.56,80.57,77.94,77.98598307349923
1.81,7.92,1.63,62.63,65.87,81.96,81.92659378282305
6.37,5.59,0.59,65.77,59.52,116.49,116.45852074728845
1.99,4.26,3.23,93.59,73.61,81.73,81.75096549557804
7.18,4.58,0.2,73.88,53.31,121.41,121.44747382069741
4.7,7.04,4.36,59.84,82.98,105.87,105.84405479377507
1.32,7.35,3.83,85.34,73.28,81.16,81.18424846105412
2.29,6.05,2.34,72.28,53.0,76.94,76.9632133081796
3.24,8.29,0.92,87.49,78.42,109.85,109.80582692764926
6.03,8.28,4.18,69.08,91.97,128.25,128.26291310211062
5.63,4.68,4.89,61.71,91.04,109.82,109.8589520001837
6.83,6.49,2.38,52.44,90.58,128.12,128.1441604197853
7.43,6.31,0.58,81.86,73.57,138.61,138.62657470400308
7.66,8.93,0.45,83.36,62.35,144.8,144.77884912805771
7.17,3.69,2.26,65.32,58.35,114.01,114.01518148560368
1.82,8.57,3.83,64.37,84.13,87.36,87.3932271721527
1.87,7.71,3.48,61.75,58.71,74.97,75.00833697081922
7.56,5.49,1.03,72.6,97.68,143.29,143.3027954249778
4.91,6.17,0.27,99.76,94.1,129.75,129.72933735329084
5.82,6.33,0.49,85.58,51.0,116.47,116.46394055727266
5.84,3.62,0.56,75.27,75.53,115.11,115.0927735109932
2.66,7.86,4.28,59.46,73.9,86.39,86.35776762340876
5.57,6.65,0.45,53.79,89.65,121.21,121.17709475865558
1.09,7.25,0.05,74.15,65.93,80.07,80.0767289022129
6.92,5.27,3.17,82.94,68.84,124.17,124.16821682507657
4.49,3.08,0.82,78.1,58.32,94.75,94.7671696404087
7.37,7.46,1.03,83.44,96.57,150.34,150.3114268796491
6.71,4.33,3.83,93.48,80.66,125.99,126.02861321365452
5.95,6.82,1.69,77.42,55.3,115.98,115.97592310639334
7.45,5.35,4.91,70.65,70.63,122.7,122.72697601720417
3.98,3.6,4.72,85.65,81.29,95.42,95.39100085843114
1.16,7.12,4.4,95.86,97.6,90.77,90.79910994033
2.2,6.91,0.2,64.62,91.42,96.1,96.08416676972473
3.14,6.55,3.43,93.45,71.24,97.54,97.58144806013169
7.72,5.91,1.78,92.0,75.74,141.59,141.54685763261327
3.93,6.84,3.42,96.49,88.66,113.45,113.46211726129201
1.62,7.12,2.4,55.56,54.68,69.72,69.67892978683051
4.2,6.9,2.15,82.04,89.17,114.47,114.48077359494366
4.12,3.82,2.93,85.12,93.0,105.4,105.41635742068712
4.76,7.61,0.75,74.51,74.8,116.47,116.4433897907387
4.9,8.06,0.4,80.19,95.72,129.85,129.82619314915067
5.32,7.19,4.5,87.78,88.87,122.3,122.33307466457904
1.14,8.11,4.91,96.07,71.62,82.28,82.23962524293528
1.18,5.33,0.24,87.5,59.79,76.26,76.29558228258236
4.84,6.95,1.67,59.15,78.57,110.25,110.24293503247921
4.96,6.72,4.61,56.1,53.2,93.68,93.6891398435774
3.29,5.5,0.02,66.1,68.99,93.49,93.49546326694394
6.4,4.96,0.17,81.35,53.89,118.1,118.10069423407731
7.79,6.39,1.63,96.95,60.09,139.14,139.1416888587514
1.94,7.93,0.04,54.71,84.24,91.31,91.27887479408997
7.09,5.36,2.85,76.19,88.48,132.46,132.43957430470383
4.15,3.4,3.15,56.37,94.16,95.79,95.82450715573572
3.55,3.5,4.31,55.35,54.1,72.06,72.07339197728703
3.2,3.94,4.55,53.2,95.41,85.68,85.64345303458461
5.23,6.83,0.08,73.58,72.43,118.48,118.44620327955661
2.5,5.99,2.39,81.6,82.47,93.17,93.15824684268966
5.75,5.84,4.96,50.11,75.25,104.52,104.482451527049
3.14,5.93,2.02,62.32,86.63,95.32,95.35787038179508
3.49,3.92,3.94,56.76,96.05,90.69,90.73759722857187
1.92,7.54,1.1,80.83,82.69,95.04,95.02547941632292
1.14,3.44,4.77,57.47,72.59,57.32,57.315682636327296
3.25,8.13,4.39,86.67,81.31,103.43,103.38582681837235
3.3,6.03,1.24,63.59,55.47,86.61,86.57413657561122
4.94,3.17,1.07,55.92,65.42,94.74,94.77279481775147
6.08,8.68,3.22,70.92,91.35,132.14,132.13703587790894
4.89,3.97,4.84,75.8,79.59,100.8,100.81584037754126
2.38,3.9,0.58,92.04,93.99,97.14,97.16843775306161
7.85,3.14,0.43,80.58,58.72,126.85,126.87158943189908
3.9,7.58,0.91,67.67,85.88,110.7,110.6733964523396
7.71,5.28,0.64,77.72,96.98,146.07,146.0588969839875
5.53,4.16,2.07,52.63,51.02,94.34,94.30556919695093
4.82,5.04,2.61,66.65,96.72,111.95,111.96324224029979
4.29,7.79,0.7,61.84,54.04,100.72,100.74748666535568
5.22,6.22,2.84,57.29,82.9,110.34,110.30688532964237
3.32,8.69,1.65,79.14,81.03,108.85,108.80474132015217
5.81,4.62,0.64,96.86,80.47,126.07,126.11669139364375
5.32,5.62,2.68,96.3,95.64,126.5,126.5271998200235
4.62,7.38,3.11,85.59,74.0,112.78,112.77760498136824
7.52,8.09,4.26,61.66,91.52,138.54,138.5368023810373
2.98,3.75,4.97,68.55,71.47,77.31,77.28219908170674
2.06,4.04,2.98,83.83,60.15,73.94,73.90831031850584
4.85,4.67,4.86,57.26,55.49,87.29,87.31282754887835
6.31,7.99,4.9,80.96,51.69,115.89,115.924165669213
4.08,8.45,3.34,83.71,92.64,117.55,117.56018703740367
4.94,3.61,4.48,78.33,79.86,101.79,101.77285633417101
4.1,5.38,0.9,99.77,85.88,115.53,115.52389048828053
7.97,6.36,1.63,92.08,76.9,145.91,145.9350012319385
1.69,8.56,0.77,70.38,56.32,83.03,82.99167820873424
5.83,3.64,3.75,92.71,81.98,116.53,116.49540922539892
2.06,3.64,1.37,88.41,78.93,84.82,84.81485964431235
6.41,4.5,4.45,95.42,64.93,116.89,116.88825823974895
6.29,4.37,2.07,90.34,75.61,122.95,122.92637292205708
7.62,3.18,2.34,99.51,64.43,129.04,129.06523830076998
1.93,8.25,1.07,75.05,85.25,96.56,96.59552157795967
1.76,8.48,4.51,85.28,93.36,95.22,95.18902232781838
5.01,3.79,1.29,96.41,72.66,111.9,111.86723554330554
5.42,7.61,0.09,94.87,80.74,132.2,132.18818006229822
2.92,6.51,0.25,70.09,95.88,104.72,104.68942820830748
1.42,6.88,3.87,52.06,83.76,74.76,74.80151227098449
7.89,8.43,2.03,74.55,86.14,149.09,149.06213757088892
1.55,7.11,4.32,59.13,80.09,76.46,76.41466775216355
2.12,3.32,2.53,95.12,95.58,90.78,90.74841607871875
2.14,8.32,1.7,85.51,56.74,89.13,89.16910270992763
1.54,7.93,1.56,83.95,97.71,98.86,98.79999097742956
7.04,7.7,2.31,55.96,93.45,136.03,136.00858516195126
1.61,4.16,0.69,68.19,62.02,70.84,70.85391700073522
4.91,4.76,4.22,53.5,85.56,100.3,100.30353058113194
5.65,3.19,1.76,55.89,90.32,109.76,109.79450867413193
5.31,5.31,4.06,65.45,80.68,107.47,107.50688206646707
5.43,6.33,4.55,53.51,94.91,112.76,112.7771219761376
6.98,4.21,1.03,51.66,65.59,115.17,115.12307755026323
6.07,7.23,2.22,88.9,56.66,121.26,121.21436503653891
5.44,5.68,4.56,65.23,81.77,109.16,109.15698429738276
1.76,8.38,3.68,78.74,50.02,77.23,77.24970112715917
3.91,5.56,2.39,60.9,57.57,88.4,88.38707798881816
5.42,8.68,4.11,63.04,50.39,105.67,105.66768289490595
2.73,4.51,4.23,88.15,74.02,85.71,85.69293756171318
2.05,8.52,3.74,84.68,87.3,96.85,96.85488910559778
6.37,3.01,1.6,66.7,89.34,118.88,118.90582118523571
7.05,5.63,2.09,72.12,58.09,121.03,121.03172454075002
6.4,4.14,1.32,73.2,82.09,122.15,122.17603489003534
1.19,8.83,0.92,66.48,68.06,82.55,82.5278763293851
4.94,7.19,4.16,64.38,64.78,102.92,102.93576215391518
3.72,5.62,3.06,63.31,67.36,90.1,90.15638798637418
3.65,8.06,3.96,84.24,87.2,109.2,109.26294024959543
5.52,8.73,3.74,51.24,67.52,110.8,110.76982029583205
6.01,3.97,4.43,91.48,51.72,105.27,105.27166544046449
5.42,4.3,3.35,62.11,54.18,95.29,95.28392326336196
5.81,5.49,0.7,57.13,53.11,105.74,105.74203923544411
7.72,7.3,1.24,56.78,52.8,127.08,127.05354926555604
2.61,3.48,3.41,55.37,67.27,70.6,70.62764523251455
2.06,3.99,1.12,76.64,59.09,74.92,74.89708492756799
7.46,5.46,3.72,55.69,53.2,114.09,114.06613617121674
2.08,3.56,1.13,63.65,79.97,78.23,78.22218452208206
4.18,8.74,1.22,62.82,90.81,116.59,116.57063606671304
2.43,4.28,4.02,84.7,78.19,83.39,83.35587791747807
3.06,4.8,4.92,60.46,57.98,73.47,73.42883206144906
1.89,4.0,0.74,52.14,60.14,67.26,67.22641698008387
4.09,8.91,2.95,74.94,83.64,113.56,113.57880029412954
4.39,6.03,0.2,68.5,69.7,105.62,105.62975553409818
4.35,3.96,3.01,56.12,51.84,82.61,82.58052885392185
2.18,8.05,1.83,57.26,51.56,77.95,77.91113201569074
6.37,6.35,0.1,92.21,73.27,133.13,133.15176334491875
5.82,6.55,4.91,94.27,54.19,112.18,112.16727883305158
1.52,8.36,2.58,92.78,63.59,86.92,86.87042493859364
4.97,3.58,2.25,69.81,90.78,108.25,108.2249140309033
3.07,3.41,1.0,82.16,66.32,87.06,87.03541454234441
7.95,5.87,2.62,66.68,93.13,141.21,141.17661234538267
6.78,4.54,4.63,94.41,66.25,120.24,120.2033067430974
7.87,8.45,4.34,82.96,86.29,146.89,146.9053627372863
7.02,7.22,3.1,62.13,75.94,127.67,127.65520377036852
5.87,4.06,4.63,87.69,84.76,115.98,115.9614198347567
1.82,4.65,1.78,70.87,82.72,81.11,81.11863603759801
2.39,7.27,4.33,84.15,90.1,95.92,95.94573729207663
4.63,6.76,3.54,94.84,78.8,114.85,114.84286717286723
4.14,7.17,1.96,73.09,52.31,97.68,97.70061413391718
7.46,4.52,0.93,50.8,96.61,132.76,132.72396539919967
