Study Hours,Sleep Hours,Social Media,Attendance,Past Avg Score,Final Score
6.62,7.29,3.86,73.7,70.61,124.1
7.26,4.82,0.65,81.67,65.8,129.31
1.92,6.24,4.07,68.48,73.11,77.69
6.56,4.85,1.75,61.42,90.37,124.69
6.16,8.74,3.36,99.85,97.72,144.02
2.83,8.0,2.82,52.76,93.46,97.05
6.18,8.24,0.22,67.14,69.86,127.95
6.37,7.77,0.08,66.44,74.83,130.35
5.74,3.16,4.01,99.11,77.13,113.7
7.39,4.91,0.82,64.36,59.2,122.56
4.12,6.76,0.85,98.69,83.82,118.79
3.34,5.69,4.24,92.13,92.49,103.27
6.12,4.38,4.83,61.25,96.19,115.4
1.61,5.77,4.53,67.52,83.1,76.27
5.95,4.67,0.86,55.91,64.25,108.33
3.85,4.12,3.55,88.43,56.8,89.12
5.04,6.63,4.37,50.93,53.32,93.1
2.71,5.5,0.25,90.05,56.66,90.07
2.79,5.04,2.17,92.67,90.86,100.07
3.11,6.87,2.33,96.89,89.08,108.67
1.07,3.55,4.25,75.16,64.66,60.17
2.57,8.34,2.16,67.01,88.92,99.49
3.76,5.31,1.37,68.47,80.82,99.93
1.57,3.21,4.76,72.53,88.78,71.5
1.21,4.52,4.43,98.37,53.3,66.46
6.65,4.7,3.34,82.44,78.88,123.53
3.44,7.3,1.66,60.41,50.84,87.98
1.02,7.24,4.68,55.69,96.05,76.68
7.19,8.11,0.19,96.38,55.91,139.9
3.41,5.32,2.22,67.85,83.37,95.91
3.88,7.9,0.23,93.58,85.77,120.5
7.9,5.83,2.91,65.88,56.28,125.09
3.16,4.17,0.2,55.98,67.65,84.43
6.76,4.62,0.33,78.03,91.08,133.93
4.96,8.87,2.92,50.56,68.25,107.9
4.99,5.07,1.09,53.94,74.53,103.88
2.49,6.62,2.41,61.12,54.07,77.39
3.82,6.68,2.58,98.69,78.9,110.48
5.82,6.03,1.83,95.07,74.46,125.16
5.32,7.66,4.78,73.38,97.05,122.15
7.36,8.13,0.44,99.23,82.52,152.53
1.23,4.37,0.49,90.99,63.06,75.69
2.42,3.8,2.8,86.12,97.73,92.5
4.12,4.6,3.65,60.39,70.57,89.9
7.96,6.67,4.68,62.78,94.01,138.77
1.07,3.08,1.97,70.69,60.09,60.12
1.23,7.91,1.75,71.45,81.35,85.25
5.54,7.02,3.05,86.15,78.58,122.11
6.95,6.57,3.45,80.07,51.93,120.13
5.73,4.94,0.91,98.4,97.85,133.2
4.21,5.77,2.21,81.06,97.49,114.11
2.24,6.13,1.66,84.58,78.64,92.09
4.29,3.85,4.42,51.77,94.24,94.51
2.84,6.71,2.61,74.37,51.13,83.24
6.79,3.19,3.71,78.65,55.0,108.79
6.02,8.05,3.56,55.93,73.9,117.56
6.08,3.71,4.3,85.96,60.55,107.24
4.22,3.24,2.37,84.29,74.81,98.22
6.16,3.37,2.71,76.05,91.79,119.64
6.33,3.08,4.24,75.44,84.06,113.95
2.18,8.92,2.16,64.08,53.66,82.77
3.69,7.19,0.57,67.21,58.79,97.35
5.12,4.34,1.68,50.64,88.84,106.49
5.59,6.76,1.77,91.87,62.15,119.48
4.81,6.49,4.25,90.32,73.32,110.65
4.16,4.9,4.27,50.62,81.45,91.37
4.7,8.34,1.32,58.1,59.32,105.88
1.86,6.57,4.38,61.51,74.98,76.13
3.22,7.35,1.68,50.38,63.73,88.31
6.77,3.49,0.26,82.13,95.54,133.74
2.41,8.85,0.67,87.08,60.17,97.11
4.52,3.91,4.99,67.16,97.36,101.51
3.58,5.59,3.89,57.01,76.24,88.84
6.94,6.63,3.04,65.45,92.01,132.75
1.56,7.05,0.89,51.32,65.37,74.98
1.14,4.27,3.76,50.2,92.42,67.57
6.82,3.11,4.72,95.01,73.9,119.38
5.1,8.2,3.06,60.8,67.87,109.76
6.9,5.21,1.41,74.35,59.25,120.97
5.89,7.61,4.42,83.02,76.1,122.3
5.43,8.12,3.1,76.97,52.36,111.09
5.16,6.31,3.67,92.42,57.9,108.96
2.14,8.28,0.92,52.84,75.86,88.51
4.09,8.91,2.95,74.94,83.64,113.56
2.59,7.21,4.52,61.63,67.87,81.58
5.48,3.99,0.1,84.86,78.66,118.0
7.73,7.0,4.01,81.26,90.55,143.19
4.68,7.02,3.08,54.8,65.28,99.59
3.02,6.09,3.4,96.58,81.73,100.34
7.73,6.35,2.35,91.81,88.24,146.78
5.31,5.64,1.88,70.16,91.26,118.46
5.48,3.64,4.31,87.17,53.95,99.3
5.21,8.16,2.12,64.63,95.77,124.82
4.35,8.85,4.21,86.66,59.12,106.93
4.91,4.86,4.2,82.89,69.83,103.16
2.95,8.17,0.42,65.54,76.21,100.33
1.04,7.23,2.41,67.62,77.34,77.44
3.81,4.77,4.7,83.25,89.78,100.1
3.24,5.1,0.52,81.18,65.24,93.83
3.61,4.19,4.54,50.62,76.67,81.82
4.39,5.13,4.43,85.54,56.17,94.17
1.23,4.82,1.06,71.46,87.42,79.82
4.74,3.87,0.86,90.37,84.59,113.51
5.78,7.39,1.1,86.06,70.49,126.03
5.41,7.14,0.46,66.85,97.39,128.21
1.99,7.04,0.97,94.11,96.01,103.71
3.38,5.29,1.15,70.12,74.32,94.74
1.6,6.07,2.14,64.38,82.51,80.63
2.77,5.38,2.14,54.1,83.44,86.37
1.82,3.71,0.9,52.61,78.71,72.97
4.47,7.44,1.03,83.95,69.01,113.23
2.43,3.31,3.46,53.36,75.68,71.18
4.45,8.28,3.28,98.27,61.23,112.28
4.1,8.27,4.66,73.39,52.37,95.35
3.18,3.26,1.76,53.39,78.57,82.32
4.93,7.72,3.63,69.51,73.76,110.62
4.59,3.04,1.18,68.91,86.17,103.24
4.11,3.9,1.16,94.27,82.42,107.63
1.4,8.1,2.75,95.22,66.51,86.51
2.37,3.68,2.05,54.53,76.7,75.36
5.55,5.51,2.86,88.02,83.3,120.48
6.4,5.16,4.06,53.0,97.93,120.06
3.88,8.94,1.7,88.2,50.19,104.89
1.39,5.56,1.0,80.89,64.28,77.16
2.16,4.16,3.46,91.01,95.2,90.4
7.85,5.29,2.67,96.17,80.48,142.24
2.23,6.99,3.91,89.31,53.28,81.32
5.32,4.17,3.24,98.78,64.7,109.45
7.87,8.74,2.0,78.69,65.96,143.02
4.1,5.83,1.68,97.69,77.53,111.33
1.05,6.16,1.88,81.11,92.35,85.41
5.3,4.29,3.11,97.43,95.44,121.77
4.47,3.59,4.38,62.12,94.68,98.72
3.78,8.59,4.68,67.46,61.35,95.19
2.26,7.96,1.33,99.0,58.21,94.5
6.76,3.21,2.65,56.31,89.07,117.72
1.71,5.1,3.48,70.49,69.78,72.8
3.63,3.11,2.11,78.11,60.05,85.2
5.55,6.62,4.17,82.58,51.6,106.86
7.96,5.28,2.6,61.28,94.96,138.6
3.8,8.88,4.88,95.14,78.56,111.04
3.19,8.05,0.19,62.42,63.86,96.76
6.91,8.31,3.6,78.23,60.63,127.68
5.29,4.92,2.67,62.66,95.95,114.21
6.95,3.16,1.32,97.66,83.17,131.96
5.86,4.6,4.57,97.98,63.9,112.37
2.17,3.77,0.28,93.67,81.25,90.93
3.35,4.02,0.08,70.01,80.55,95.24
6.9,6.37,1.93,88.47,70.12,131.91
1.71,5.66,2.03,57.52,95.32,83.65
5.83,7.32,0.56,79.98,91.44,133.92
4.4,7.84,4.9,57.68,63.17,95.88
6.35,8.05,4.58,68.4,85.47,126.88
2.06,3.99,1.12,76.64,59.09,74.92
3.76,4.51,0.79,94.04,62.83,99.18
3.84,4.32,1.08,51.33,56.02,83.17
1.05,6.94,3.88,51.85,82.46,71.04
5.84,4.36,0.74,91.99,77.83,122.92
3.25,3.87,2.69,55.55,92.35,89.06
6.91,5.69,3.03,53.25,55.29,111.24
2.79,6.81,1.69,83.28,64.22,92.84
6.38,3.36,4.36,99.33,88.83,124.1
1.93,3.66,0.42,57.86,89.79,80.79
6.45,3.89,3.52,90.36,78.95,121.34
3.18,6.8,0.32,94.01,62.09,101.48
5.41,7.75,3.09,86.8,68.97,119.42
4.22,7.43,1.58,81.01,95.25,119.5
2.9,4.83,0.46,78.42,90.3,99.31
5.3,3.22,1.27,79.69,66.12,105.19
3.11,3.73,0.95,80.67,90.08,97.57
1.02,8.71,0.86,79.02,93.63,94.75
2.52,8.11,2.76,89.72,52.86,89.51
1.13,7.86,1.06,64.78,96.23,89.56
7.94,4.14,1.12,59.07,93.19,136.61
1.8,8.32,4.41,57.49,63.84,75.12
4.5,7.42,3.23,85.86,86.61,116.66
3.22,4.4,1.54,84.29,93.09,101.59
7.31,6.63,4.1,80.29,52.48,122.53
4.72,5.06,0.11,92.73,96.7,123.92
6.55,3.5,3.89,84.89,51.96,107.91
1.7,6.41,0.85,69.34,50.98,74.07
2.31,6.85,2.55,78.24,53.13,80.96
6.51,4.5,2.99,62.4,51.13,105.26
4.48,4.27,0.27,63.1,63.54,96.93
1.97,7.65,4.61,71.71,87.86,88.09
5.77,5.83,2.65,92.0,78.28,123.03
2.76,4.11,1.33,55.6,86.46,85.76
4.63,6.76,3.54,94.84,78.8,114.85
4.92,7.78,4.27,91.14,57.9,109.58
4.79,3.57,4.68,73.72,80.58,98.84
2.86,7.39,3.34,80.51,81.57,98.0
1.48,8.95,4.3,95.85,55.01,82.33
4.84,5.84,0.46,92.47,92.32,124.84
7.36,8.93,2.18,51.97,77.39,135.26
5.06,5.15,2.17,95.64,57.6,108.4
7.22,8.16,0.38,54.92,67.74,132.26
1.78,7.22,0.05,72.41,53.7,80.78
4.52,6.59,2.09,74.0,92.06,115.3
6.54,7.22,2.85,50.51,53.77,111.53
4.76,3.98,4.59,59.71,73.78,93.0
7.25,7.67,2.49,67.29,93.0,140.64
6.48,7.86,2.3,70.61,95.19,136.54
4.22,8.59,1.35,53.28,84.78,110.9
5.84,4.71,1.83,95.93,64.59,117.63
1.07,6.4,0.49,97.79,67.18,84.05
3.45,6.45,1.45,85.27,79.2,104.75
1.69,3.47,0.85,57.19,72.1,69.88
5.36,8.05,2.56,50.93,62.9,107.74
3.32,8.69,1.65,79.14,81.03,108.85
1.51,6.79,2.74,78.0,83.75,85.35
1.83,3.42,3.32,90.66,86.73,81.96
6.75,6.89,1.65,83.13,76.96,133.82
5.41,5.68,0.51,89.49,87.08,126.38
7.33,8.77,1.96,99.03,60.81,142.39
5.36,5.37,1.96,95.96,61.15,113.65
2.18,8.48,0.38,52.11,89.7,95.86
7.66,3.64,3.22,52.65,78.5,120.66
1.34,6.25,3.63,59.07,92.15,78.1
1.8,3.79,2.24,70.91,90.1,80.34
5.74,7.15,0.4,56.14,50.06,109.17
2.55,4.39,4.32,76.92,73.17,79.84
3.27,8.95,1.77,52.59,79.15,100.17
1.85,6.28,1.95,69.24,89.0,87.95
5.09,5.58,3.88,69.4,60.84,99.95
5.78,4.03,3.82,63.72,96.25,114.1
2.09,3.99,3.44,57.51,91.04,77.58
6.18,5.09,3.35,54.04,96.85,119.15
4.48,4.76,0.99,66.13,50.8,92.79
5.1,7.22,4.44,98.16,67.24,115.02
1.43,3.35,2.82,77.4,73.19,69.76
5.32,6.25,1.21,93.18,69.47,119.97
5.6,5.55,1.39,53.79,89.15,116.03
7.01,8.9,2.64,59.79,72.11,131.29
4.99,5.27,0.65,90.57,97.04,125.36
7.33,3.97,2.96,84.76,81.11,129.87
6.83,6.21,3.7,73.97,92.67,132.01
4.97,5.88,4.42,54.36,52.11,90.69
6.93,3.72,2.63,85.31,74.46,123.62
1.18,6.86,1.16,61.03,52.99,68.4
6.72,6.48,0.78,95.29,95.13,145.03
7.73,3.63,3.28,64.08,72.49,122.12
2.45,8.32,2.34,72.55,78.74,95.54
4.99,6.92,0.1,57.58,77.38,113.69
7.68,8.27,3.14,97.58,86.01,151.34
2.66,6.88,0.73,56.32,90.55,96.27
4.32,3.46,1.9,93.44,86.59,108.1
1.53,8.86,2.41,62.42,94.35,92.01
2.85,6.56,2.8,83.09,81.03,97.04
5.73,6.47,3.14,69.5,79.36,117.3
1.48,8.03,2.41,83.71,80.06,89.76
6.65,4.64,0.95,99.34,84.37,135.39
5.94,4.26,4.83,72.6,86.44,112.92
6.3,5.27,1.14,57.46,52.52,108.44
1.13,5.94,0.84,82.83,93.92,88.71
1.62,5.29,4.52,71.01,97.19,81.6
5.06,5.94,3.69,53.81,88.87,107.65
4.69,4.26,1.19,62.39,59.84,95.28
7.79,8.43,1.98,53.61,58.17,130.8
4.4,6.48,2.54,70.38,70.79,103.39
7.7,7.87,4.04,62.65,97.8,142.76
1.9,8.7,0.01,72.41,67.23,91.76
3.61,7.84,4.07,58.24,87.71,100.43
7.17,6.06,2.77,96.13,72.29,134.9
7.07,7.2,2.74,59.93,95.63,136.03
7.8,8.73,4.77,94.42,54.87,137.13
7.12,6.06,0.32,86.4,97.6,146.59
1.72,4.7,2.27,77.41,57.54,71.25
6.02,3.37,0.71,81.76,57.74,110.48
2.87,4.97,2.43,80.79,89.55,95.96
2.69,5.69,4.02,79.96,85.17,91.28
4.03,4.64,3.56,71.38,59.72,88.39
6.64,8.56,4.83,56.26,64.59,118.49
1.23,6.18,4.07,62.55,53.21,61.55
2.82,3.07,2.2,94.21,67.45,85.47
2.92,4.78,4.1,66.7,75.28,82.52
3.57,6.95,3.37,90.02,79.1,104.86
5.77,6.78,3.53,50.93,83.06,113.68
5.84,4.12,2.82,52.26,82.99,108.18
1.18,8.38,1.24,72.12,52.13,75.75
5.13,6.99,3.75,68.22,88.6,115.54
1.29,8.93,1.19,63.45,83.58,88.51
2.6,6.17,3.09,53.37,52.16,72.62
7.48,6.27,0.52,95.47,64.92,139.66
5.89,3.76,2.99,86.44,57.28,107.15
4.26,4.64,4.2,55.81,61.99,85.35
4.42,4.86,4.71,88.6,76.92,102.28
5.41,4.65,0.42,76.97,59.08,108.58
6.71,8.9,1.1,83.94,71.2,138.59
2.64,3.98,0.3,76.84,62.39,83.12
6.41,8.51,0.29,64.6,89.51,137.79
4.89,7.33,4.3,64.09,55.62,98.87
4.28,8.92,3.25,98.47,56.06,110.78
2.69,8.64,2.48,88.21,82.11,104.49
1.19,7.58,0.64,77.9,96.4,94.1
2.31,3.11,4.12,87.59,58.4,71.51
1.03,6.8,2.67,74.51,76.32,77.2
2.75,5.69,2.89,96.48,53.48,86.35
5.64,3.05,4.71,56.6,81.08,99.9
6.64,3.8,1.68,84.61,88.87,128.73
7.84,8.21,4.81,77.03,93.25,145.96
7.63,4.04,4.75,74.23,64.42,119.33
7.38,8.8,0.82,90.33,54.55,140.09
3.77,3.73,2.66,57.76,95.88,95.45
3.41,4.1,0.09,86.7,83.83,102.41
5.54,6.45,2.91,92.59,96.73,129.86
6.92,7.52,4.49,61.15,74.99,124.2
3.53,4.98,1.05,91.86,87.51,107.14
7.74,6.13,3.84,67.99,90.02,136.82
4.24,6.07,0.54,50.85,90.21,106.66
5.99,4.67,1.66,63.71,91.33,120.19
5.5,6.33,2.95,71.79,79.51,115.92
1.49,7.73,0.15,51.83,59.69,75.77
1.12,5.0,3.25,57.26,64.55,61.58
2.52,3.91,0.9,79.8,56.59,79.23
3.96,5.61,1.8,53.3,51.85,85.64
2.68,5.02,0.87,91.81,82.97,98.18
6.76,4.25,0.09,97.25,56.57,125.16
4.75,7.61,2.62,96.04,77.93,120.33
6.45,8.94,0.91,63.47,59.65,125.93
3.5,7.33,1.62,82.53,95.93,113.41
7.87,8.45,4.34,82.96,86.29,146.89
7.63,6.0,0.15,75.6,72.77,138.14
6.33,6.18,1.74,81.4,69.77,124.32
7.06,4.26,4.1,73.99,55.68,112.61
6.37,8.14,4.84,61.26,94.61,128.31
1.41,8.42,2.03,87.38,59.36,83.85
6.75,4.5,0.02,64.86,93.69,131.13
4.71,5.37,0.26,72.13,81.08,112.04
2.16,8.98,3.79,89.58,69.82,93.63
6.4,5.05,3.33,90.94,73.62,122.79
5.0,8.9,3.75,70.98,93.36,122.86
7.68,5.65,3.87,95.61,76.84,137.72
5.59,9.0,0.48,95.72,88.19,140.38
4.11,3.85,2.84,86.76,50.64,89.17
3.05,4.7,0.55,66.1,95.17,98.34
5.53,4.17,3.62,51.99,70.75,98.89
2.95,8.1,1.02,56.54,66.51,92.34
6.4,8.62,1.16,96.27,88.84,145.52
1.94,3.99,0.48,83.62,57.73,76.62
2.17,7.56,2.19,68.7,53.91,80.01
3.11,3.08,3.01,67.26,84.63,85.24
7.59,6.76,0.29,72.9,91.41,146.41
3.51,3.13,0.25,90.34,93.76,105.08
7.14,8.48,2.82,97.28,78.37,144.56
5.31,5.94,0.96,96.33,85.14,126.67
4.86,5.72,2.15,71.48,88.3,113.4
2.27,4.59,1.23,97.54,82.89,94.18
4.04,3.51,1.71,55.59,57.64,83.23
1.05,4.74,0.71,62.94,61.24,65.59
1.06,7.76,3.84,52.33,78.14,72.1
2.14,4.01,3.76,96.57,75.16,82.84
1.63,3.36,4.46,84.1,76.97,71.85
6.85,3.25,0.74,68.76,73.99,120.1
4.35,8.91,1.47,67.81,53.22,104.55
6.04,4.71,3.65,52.9,97.23,115.92
1.57,3.92,4.49,81.14,62.27,66.17
7.01,4.87,3.62,71.87,61.66,116.72
4.94,4.99,4.41,56.66,64.93,93.63
7.24,7.0,2.8,93.68,84.3,142.35
5.86,8.73,3.77,80.46,71.54,124.18
6.92,7.73,1.93,61.29,82.76,133.07
7.85,4.29,4.95,68.96,68.34,121.66
3.84,3.57,2.66,73.23,72.39,90.92
6.85,7.83,1.79,79.3,52.61,126.38
3.77,3.09,2.9,74.84,90.82,96.19
1.65,8.28,1.86,81.19,94.41,98.07
5.5,4.18,1.33,50.1,82.09,107.21
6.01,3.97,1.42,96.13,51.09,112.47
4.1,3.48,3.87,51.43,94.42,92.78
2.02,5.36,1.46,65.97,53.9,72.67
3.07,7.56,4.85,92.55,87.81,103.45
4.56,7.02,1.77,74.05,65.32,106.9
4.43,4.22,3.23,87.28,50.03,92.26
5.92,8.91,2.08,80.86,81.16,132.55
1.66,5.1,2.59,74.15,56.83,70.04
6.22,4.86,3.07,55.19,84.89,114.95
3.99,4.29,3.37,86.71,93.88,105.64
2.36,8.54,1.82,95.65,64.68,97.79
6.4,5.95,1.4,64.22,51.11,112.38
4.42,7.34,3.65,85.66,63.8,105.7
7.04,6.05,3.61,59.58,63.36,117.48
3.14,4.42,0.76,50.38,76.81,85.82
3.21,5.38,2.66,92.48,92.82,104.54
4.27,3.43,3.52,76.88,83.7,98.27
1.57,3.46,3.0,65.0,93.77,75.54
3.16,3.82,1.9,64.87,63.04,80.74
3.27,6.47,4.06,86.05,79.56,98.34
1.47,5.43,3.43,62.69,76.83,72.2
7.94,4.98,2.72,87.19,94.93,145.06
4.97,6.71,3.39,77.41,63.63,106.77
4.3,5.93,2.59,62.73,69.53,97.97
5.36,5.18,3.86,71.23,65.29,103.53
7.33,6.62,4.48,52.76,91.25,129.18
7.94,3.58,3.13,61.61,69.49,122.19
7.06,4.88,0.1,80.5,55.67,124.38
1.79,5.46,1.11,96.18,80.12,91.15
5.86,8.84,2.18,91.68,55.64,124.65
3.61,5.14,2.09,62.39,97.24,101.32
4.08,7.53,0.24,71.68,62.11,105.16
7.93,4.56,3.0,65.52,77.93,129.86
